Application ID,Updated Application ID No Dash,Final Verified S64(1),Final Verified S64(1) Flat,Final Verified S64(2),Final Verified S64(2) Flat,SIR Obligations
PLC/1036,PLC1036,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,"the function or use of the notified polymer has changed from a component of printing ink, or is likely to change significantly
the amount of notified polymer being introduced has increased, or is likely to increase, significantly
the notified polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the notified polymer on occupational health and safety, public health, or the environment.","the function or use of the notified polymer has changed from a component of printing ink, or is likely to change significantly
the amount of notified polymer being introduced has increased, or is likely to increase, significantly
the notified polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the notified polymer on occupational health and safety, public health, or the environment.",
PLC/1037,PLC1037,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,"the function or use of the notified polymer has changed from a component in the manufacture of paper, or is likely to change significantly
the amount of notified polymer being introduced has increased, or is likely to increase, significantly
the notified polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the notified polymer on occupational health and safety, public health, or the environment.","the function or use of the notified polymer has changed from a component in the manufacture of paper, or is likely to change significantly
the amount of notified polymer being introduced has increased, or is likely to increase, significantly
the notified polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the notified polymer on occupational health and safety, public health, or the environment.",
PLC/1038,PLC1038,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,"the function or use of the notified polymer has changed from a component of plastic articles], or is likely to change significantly
the amount of notified polymer being introduced has increased, or is likely to increase, significantly
the notified polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the notified polymer on occupational health and safety, public health, or the environment.","the function or use of the notified polymer has changed from a component of plastic articles], or is likely to change significantly
the amount of notified polymer being introduced has increased, or is likely to increase, significantly
the notified polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the notified polymer on occupational health and safety, public health, or the environment.",
PLC/1039,PLC1039,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,"the function or use of the notified polymer has changed from a component of printing inks, or is likely to change significantly
the amount of notified polymer being introduced has increased, or is likely to increase, significantly
the notified polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the notified polymer on occupational health and safety, public health, or the environment.","the function or use of the notified polymer has changed from a component of printing inks, or is likely to change significantly
the amount of notified polymer being introduced has increased, or is likely to increase, significantly
the notified polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the notified polymer on occupational health and safety, public health, or the environment.",
PLC/104,PLC104,No Section 64(1) condition listed,No Section 64(1) condition listed,if any of the circumstances listed in the subsection arise,if any of the circumstances listed in the subsection arise,
PLC/1040,PLC1040,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,"the function or use of the notified polymer has changed from use in industrial coatings, or is likely to change significantly
the amount of notified polymer being introduced has increased, or is likely to increase, significantly
additional information has become available to the person as to an adverse effect of the notified polymer on occupational health and safety, public health, or the environment.","the function or use of the notified polymer has changed from use in industrial coatings, or is likely to change significantly
the amount of notified polymer being introduced has increased, or is likely to increase, significantly
additional information has become available to the person as to an adverse effect of the notified polymer on occupational health and safety, public health, or the environment.",
PLC/1041,PLC1041,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,"the function or use of the notified polymer has changed from component of inks, or is likely to change significantly
the amount of notified polymer being introduced has increased, or is likely to increase, significantly
the notified polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the notified polymer on occupational health and safety, public health, or the environment.","the function or use of the notified polymer has changed from component of inks, or is likely to change significantly
the amount of notified polymer being introduced has increased, or is likely to increase, significantly
the notified polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the notified polymer on occupational health and safety, public health, or the environment.",
PLC/1042,PLC1042,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,"the function or use of the notified polymer has changed from automotive refinish paint resin, or is likely to change significantly
the amount of notified polymer being introduced has increased, or is likely to increase, significantly
the notified polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the notified polymer on occupational health and safety, public health, or the environment.","the function or use of the notified polymer has changed from automotive refinish paint resin, or is likely to change significantly
the amount of notified polymer being introduced has increased, or is likely to increase, significantly
the notified polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the notified polymer on occupational health and safety, public health, or the environment.",
PLC/1043,PLC1043,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,"the function or use of the notified polymer has changed from a component of commercial printing inks or is likely to change significantly
the amount of notified polymer being introduced has increased, or is likely to increase, significantly
the notified polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the notified polymer on occupational health and safety, public health, or the environment.","the function or use of the notified polymer has changed from a component of commercial printing inks or is likely to change significantly
the amount of notified polymer being introduced has increased, or is likely to increase, significantly
the notified polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the notified polymer on occupational health and safety, public health, or the environment.",
PLC/1044,PLC1044,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,"the function or use of the notified polymer has changed from a lubricating additive for engine oils or is likely to change significantly
the amount of notified polymer being introduced has increased, or is likely to increase, significantly
the notified polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the notified polymer on occupational health and safety, public health, or the environment.","the function or use of the notified polymer has changed from a lubricating additive for engine oils or is likely to change significantly
the amount of notified polymer being introduced has increased, or is likely to increase, significantly
the notified polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the notified polymer on occupational health and safety, public health, or the environment.",
PLC/1045,PLC1045,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,"the function or use of the notified polymer has changed from a component of a resin for pultrusion processes or is likely to change significantly
the amount of notified polymer being introduced has increased, or is likely to increase, significantly
the notified polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the notified polymer on occupational health and safety, public health, or the environment.","the function or use of the notified polymer has changed from a component of a resin for pultrusion processes or is likely to change significantly
the amount of notified polymer being introduced has increased, or is likely to increase, significantly
the notified polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the notified polymer on occupational health and safety, public health, or the environment.",
PLC/1046,PLC1046,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,"the function or use of the notified polymer has changed from a component in wood coatings, or is likely to change significantly
the amount of notified polymer being introduced has increased, or is likely to increase, significantly
the notified polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the notified polymer on occupational health and safety, public health, or the environment.","the function or use of the notified polymer has changed from a component in wood coatings, or is likely to change significantly
the amount of notified polymer being introduced has increased, or is likely to increase, significantly
the notified polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the notified polymer on occupational health and safety, public health, or the environment.",
PLC/1047,PLC1047,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,"the function or use of the notified polymer has changed from a component in plastic cookware, or is likely to change significantly
the amount of notified polymer being introduced has increased, or is likely to increase, significantly
the notified polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the notified polymer on occupational health and safety, public health, or the environment.","the function or use of the notified polymer has changed from a component in plastic cookware, or is likely to change significantly
the amount of notified polymer being introduced has increased, or is likely to increase, significantly
the notified polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the notified polymer on occupational health and safety, public health, or the environment.",
PLC/1048,PLC1048,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,"the function or use of the notified polymer has changed from a component of automotive adhesive, or is likely to change significantly
the amount of notified polymer being introduced has increased, or is likely to increase, significantly
the notified polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the notified polymer on occupational health and safety, public health, or the environment.","the function or use of the notified polymer has changed from a component of automotive adhesive, or is likely to change significantly
the amount of notified polymer being introduced has increased, or is likely to increase, significantly
the notified polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the notified polymer on occupational health and safety, public health, or the environment.",
PLC/1049,PLC1049,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,"the function or use of the notified polymer has changed from a component of automotive adhesives, or is likely to change significantly
the amount of notified polymer being introduced has increased, or is likely to increase, significantly
the notified polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the notified polymer on occupational health and safety, public health, or the environment.","the function or use of the notified polymer has changed from a component of automotive adhesives, or is likely to change significantly
the amount of notified polymer being introduced has increased, or is likely to increase, significantly
the notified polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the notified polymer on occupational health and safety, public health, or the environment.",
PLC/105,PLC105,No Section 64(1) condition listed,No Section 64(1) condition listed,if any of the circumstances listed in the subsection arise,if any of the circumstances listed in the subsection arise,
PLC/1050,PLC1050,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,"the function or use of the notified polymer has changed from a component of printing inks or is likely to change significantly
the amount of notified polymer being introduced has increased, or is likely to increase, significantly
the notified polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the notified polymer on occupational health and safety, public health, or the environment.","the function or use of the notified polymer has changed from a component of printing inks or is likely to change significantly
the amount of notified polymer being introduced has increased, or is likely to increase, significantly
the notified polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the notified polymer on occupational health and safety, public health, or the environment.",
PLC/1051,PLC1051,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,"the function or use of the notified polymer has changed from component of sealants, or is likely to change significantly
the amount of notified polymer being introduced has increased, or is likely to increase, significantly
the notified polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the notified polymer on occupational health and safety, public health, or the environment.","the function or use of the notified polymer has changed from component of sealants, or is likely to change significantly
the amount of notified polymer being introduced has increased, or is likely to increase, significantly
the notified polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the notified polymer on occupational health and safety, public health, or the environment.",
PLC/1052,PLC1052,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,"the function or use of the notified polymer has changed from a component of overprint varnishes, or is likely to change significantly
the amount of notified polymer being introduced has increased per annum, or is likely to increase, significantly
the notified polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the notified polymer on occupational health and safety, public health, or the environment.","the function or use of the notified polymer has changed from a component of overprint varnishes, or is likely to change significantly
the amount of notified polymer being introduced has increased per annum, or is likely to increase, significantly
the notified polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the notified polymer on occupational health and safety, public health, or the environment.",
PLC/1053,PLC1053,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,"the function or use of the notified polymer has changed from a component of surface coatings, or is likely to change significantly
the amount of notified polymer being introduced has increased per annum, or is likely to increase, significantly
the notified polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the notified polymer on occupational health and safety, public health, or the environment.","the function or use of the notified polymer has changed from a component of surface coatings, or is likely to change significantly
the amount of notified polymer being introduced has increased per annum, or is likely to increase, significantly
the notified polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the notified polymer on occupational health and safety, public health, or the environment.",
PLC/1054,PLC1054,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,"the function or use of the notified polymer has changed from component used in the manufacture of plastic articles, or is likely to change significantly
the amount of notified polymer being introduced has increased per annum, or is likely to increase, significantly
the notified polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the notified polymer on occupational health and safety, public health, or the environment.","the function or use of the notified polymer has changed from component used in the manufacture of plastic articles, or is likely to change significantly
the amount of notified polymer being introduced has increased per annum, or is likely to increase, significantly
the notified polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the notified polymer on occupational health and safety, public health, or the environment.",
PLC/1055,PLC1055,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,"the function or use of the notified polymer has changed from component used in the manufacture of plastic articles, or is likely to change significantly
the amount of notified polymer being introduced has increased per annum, or is likely to increase, significantly
the notified polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the notified polymer on occupational health and safety, public health, or the environment.","the function or use of the notified polymer has changed from component used in the manufacture of plastic articles, or is likely to change significantly
the amount of notified polymer being introduced has increased per annum, or is likely to increase, significantly
the notified polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the notified polymer on occupational health and safety, public health, or the environment.",
PLC/1056,PLC1056,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,"the function or use of the notified polymer has changed from a component of coatings, or is likely to change significantly
the amount of notified polymer being introduced has increased, or is likely to increase, significantly
the notified polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the notified polymer on occupational health and safety, public health, or the environment.","the function or use of the notified polymer has changed from a component of coatings, or is likely to change significantly
the amount of notified polymer being introduced has increased, or is likely to increase, significantly
the notified polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the notified polymer on occupational health and safety, public health, or the environment.",
PLC/1057,PLC1057,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,"the function or use of the notified polymer has changed from polymer for the production of rubber articles, or is likely to change significantly
the amount of notified polymer being introduced has increased per annum, or is likely to increase, significantly
the notified polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the notified polymer on occupational health and safety, public health, or the environment.","the function or use of the notified polymer has changed from polymer for the production of rubber articles, or is likely to change significantly
the amount of notified polymer being introduced has increased per annum, or is likely to increase, significantly
the notified polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the notified polymer on occupational health and safety, public health, or the environment.",
PLC/1059,PLC1059,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,"the function or use of the notified polymer has changed from a component of coatings, or is likely to change significantly
the amount of notified polymer being introduced has increased, or is likely to increase, significantly
the notified polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the notified polymer on occupational health and safety, public health, or the environment.","the function or use of the notified polymer has changed from a component of coatings, or is likely to change significantly
the amount of notified polymer being introduced has increased, or is likely to increase, significantly
the notified polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the notified polymer on occupational health and safety, public health, or the environment.",
PLC/106,PLC106,No Section 64(1) condition listed,No Section 64(1) condition listed,if any of the circumstances listed in the subsection arise,if any of the circumstances listed in the subsection arise,
PLC/1060,PLC1060,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,"the function or use of the notified polymer has changed from a component of coatings, or is likely to change significantly
the amount of notified polymer being introduced has increased, or is likely to increase, significantly
the notified polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the notified polymer on occupational health and safety, public health, or the environment.","the function or use of the notified polymer has changed from a component of coatings, or is likely to change significantly
the amount of notified polymer being introduced has increased, or is likely to increase, significantly
the notified polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the notified polymer on occupational health and safety, public health, or the environment.",
PLC/1061,PLC1061,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,"the function or use of the notified polymer has changed from resin for plastic moulding, or is likely to change significantly
the amount of notified polymer being introduced has increased per annum, or is likely to increase, significantly
the notified polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the notified polymer on occupational health and safety, public health, or the environment.","the function or use of the notified polymer has changed from resin for plastic moulding, or is likely to change significantly
the amount of notified polymer being introduced has increased per annum, or is likely to increase, significantly
the notified polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the notified polymer on occupational health and safety, public health, or the environment.",
PLC/1062,PLC1062,"the notified polymer is introduced in a chemical form that does not meet the PLC criteria
the notified polymer is introduced in a form other than in sealed printing cartridges","the notified polymer is introduced in a chemical form that does not meet the PLC criteria
the notified polymer is introduced in a form other than in sealed printing cartridges","the function or use of the notified polymer has changed from a component of printer toner], or is likely to change significantly
the amount of notified polymer being introduced has increased, or is likely to increase, significantly
the notified polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the notified polymer on occupational health and safety, public health, or the environment.","the function or use of the notified polymer has changed from a component of printer toner], or is likely to change significantly
the amount of notified polymer being introduced has increased, or is likely to increase, significantly
the notified polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the notified polymer on occupational health and safety, public health, or the environment.",
PLC/1063,PLC1063,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,"the function or use of the notified polymer has changed from a component of plastic articles, or is likely to change significantly
the amount of notified polymer being introduced has increased, or is likely to increase, significantly
the notified polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the notified polymer on occupational health and safety, public health, or the environment.","the function or use of the notified polymer has changed from a component of plastic articles, or is likely to change significantly
the amount of notified polymer being introduced has increased, or is likely to increase, significantly
the notified polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the notified polymer on occupational health and safety, public health, or the environment.",
PLC/1064,PLC1064,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,"the function or use of the notified polymer has changed from component of exterior wood coatings, or is likely to change significantly
the amount of notified polymer being introduced has increased per annum, or is likely to increase, significantly
the notified polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the notified polymer on occupational health and safety, public health, or the environment.","the function or use of the notified polymer has changed from component of exterior wood coatings, or is likely to change significantly
the amount of notified polymer being introduced has increased per annum, or is likely to increase, significantly
the notified polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the notified polymer on occupational health and safety, public health, or the environment.",
PLC/1065,PLC1065,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,"the function or use of the notified polymer has changed from component of exterior wood coatings, or is likely to change significantly
the amount of notified polymer being introduced has increased per annum, or is likely to increase, significantly
the notified polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the notified polymer on occupational health and safety, public health, or the environment.","the function or use of the notified polymer has changed from component of exterior wood coatings, or is likely to change significantly
the amount of notified polymer being introduced has increased per annum, or is likely to increase, significantly
the notified polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the notified polymer on occupational health and safety, public health, or the environment.",
PLC/1066,PLC1066,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,"the function or use of the notified polymers has changed from a component of automotive refinish paints, or is likely to change significantly
the amount of the notified polymers being introduced has increased per annum, or is likely to increase, significantly
the notified polymers have begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the notified polymers on occupational health and safety, public health, or the environment.","the function or use of the notified polymers has changed from a component of automotive refinish paints, or is likely to change significantly
the amount of the notified polymers being introduced has increased per annum, or is likely to increase, significantly
the notified polymers have begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the notified polymers on occupational health and safety, public health, or the environment.",
PLC/1067,PLC1067,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,"the function or use of the notified polymers has changed from a component of automotive refinish paints, or is likely to change significantly
the amount of the notified polymers being introduced has increased per annum, or is likely to increase, significantly
the notified polymers have begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the notified polymers on occupational health and safety, public health, or the environment.","the function or use of the notified polymers has changed from a component of automotive refinish paints, or is likely to change significantly
the amount of the notified polymers being introduced has increased per annum, or is likely to increase, significantly
the notified polymers have begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the notified polymers on occupational health and safety, public health, or the environment.",
PLC/1068,PLC1068,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,"the function or use of the notified polymer has changed from component of paint, or is likely to change significantly
the amount of notified polymer being introduced has increased per annum, or is likely to increase, significantly
the notified polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the notified polymer on occupational health and safety, public health, or the environment.","the function or use of the notified polymer has changed from component of paint, or is likely to change significantly
the amount of notified polymer being introduced has increased per annum, or is likely to increase, significantly
the notified polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the notified polymer on occupational health and safety, public health, or the environment.",
PLC/1069,PLC1069,"the notified polymer is introduced in a chemical form that does not meet the PLC criteria
the notified polymer is introduced as a solid","the notified polymer is introduced in a chemical form that does not meet the PLC criteria
the notified polymer is introduced as a solid","the function or use of the notified polymer has changed from a cement additive, or is likely to change significantly
the amount of notified polymer being introduced has increased, or is likely to increase, significantly
the notified polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the notified polymer on occupational health and safety, public health, or the environment.","the function or use of the notified polymer has changed from a cement additive, or is likely to change significantly
the amount of notified polymer being introduced has increased, or is likely to increase, significantly
the notified polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the notified polymer on occupational health and safety, public health, or the environment.",
PLC/107,PLC107,No Section 64(1) condition listed,No Section 64(1) condition listed,if any of the circumstances listed in the subsection arise,if any of the circumstances listed in the subsection arise,
PLC/1070,PLC1070,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,"the function or use of the notified polymer has changed from additive in driveline oils, or is likely to change significantly
the amount of notified polymer being introduced has increased, or is likely to increase, significantly
the notified polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the notified polymer on occupational health and safety, public health, or the environment.","the function or use of the notified polymer has changed from additive in driveline oils, or is likely to change significantly
the amount of notified polymer being introduced has increased, or is likely to increase, significantly
the notified polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the notified polymer on occupational health and safety, public health, or the environment.",
PLC/1071,PLC1071,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,"the function or use of the notified polymer has changed from polymer for the manufacture of plastic articles, or is likely to change significantly
the amount of notified polymer being introduced has increased, or is likely to increase, significantly
the notified polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the notified polymer on occupational health and safety, public health, or the environment.","the function or use of the notified polymer has changed from polymer for the manufacture of plastic articles, or is likely to change significantly
the amount of notified polymer being introduced has increased, or is likely to increase, significantly
the notified polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the notified polymer on occupational health and safety, public health, or the environment.",
PLC/1072,PLC1072,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,"the function or use of the notified polymer has changed from a component of commercial printing inks, or is likely to change significantly
the amount of notified polymer being introduced has increased, or is likely to increase, significantly
the notified polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the notified polymer on occupational health and safety, public health, or the environment.","the function or use of the notified polymer has changed from a component of commercial printing inks, or is likely to change significantly
the amount of notified polymer being introduced has increased, or is likely to increase, significantly
the notified polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the notified polymer on occupational health and safety, public health, or the environment.",
PLC/1073,PLC1073,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,"the function or use of the notified polymer has changed from a component of commercial printing inks, or is likely to change significantly
the amount of notified polymer being introduced has increased, or is likely to increase, significantly
the notified polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the notified polymer on occupational health and safety, public health, or the environment.","the function or use of the notified polymer has changed from a component of commercial printing inks, or is likely to change significantly
the amount of notified polymer being introduced has increased, or is likely to increase, significantly
the notified polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the notified polymer on occupational health and safety, public health, or the environment.",
PLC/1074,PLC1074,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,"the function or use of the notified polymer has changed from a component of inkjet printer inks, or is likely to change significantly
the amount of notified polymer being introduced has increased, or is likely to increase, significantly
the notified polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the notified polymer on occupational health and safety, public health, or the environment.","the function or use of the notified polymer has changed from a component of inkjet printer inks, or is likely to change significantly
the amount of notified polymer being introduced has increased, or is likely to increase, significantly
the notified polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the notified polymer on occupational health and safety, public health, or the environment.",
